"Employees","Monthly_Profit","Credit_History","Customers","Export_Abroad","Loan_Amount","Payment_Terms","Gender","Education","Married","Spouse_Income","Request_Approved"
"0",3069,"1","Large","No",71,480,"Male","Graduate","No",0,"N"
"2",5391,"1","Large","No",130,360,"Male","Graduate","Yes",0,"Y"
"0",3333,"1","Medium","No",128,360,"Male","Graduate","Yes",2500,"Y"
"0",5941,"1","Medium","No",296,360,"Male","Graduate","No",4232,"Y"
"0",6000,"1","Large","No",156,360,"Female","Graduate","No",0,"Y"
"0",7167,"1","Large","Yes",128,360,"Male","Graduate","No",0,"Y"
"2",4566,"1","Large","No",100,360,"Male","Graduate","Yes",0,"N"
"1",3667,"1","Large","No",113,180,"Male","Graduate","No",0,"Y"
"0",2346,"1","Medium","No",132,360,"Male","Not Graduate","No",1600,"Y"
"0",3010,"0","Large","No",147.534907597536,360,"Male","Not Graduate","Yes",3136,"N"
"0",2333,"1","Large","No",136,360,"Male","Graduate","Yes",2417,"Y"
"0",5488,"1","Small","No",125,360,"Male","Graduate","Yes",0,"Y"
"3+",9167,"1","Small","No",185,360,"Male","Graduate","No",0,"Y"
"3+",9504,"1","Small","No",275,360,"Male","Graduate","Yes",0,"Y"
"0",2583,"1","Large","No",120,360,"Male","Graduate","Yes",2115,"Y"
"2",1993,"1","Medium","No",113,180,"Male","Not Graduate","Yes",1625,"Y"
"2",3100,"1","Large","No",113,360,"Male","Graduate","Yes",1400,"Y"
"2",3276,"1","Medium","No",135,360,"Male","Graduate","Yes",484,"Y"
"0",3180,"0","Large","No",71,360,"Female","Graduate","No",0,"N"
"0",3033,"1","Large","No",95,360,"Male","Graduate","Yes",1459,"Y"
"0",3902,"1","Small","No",109,360,"Male","Not Graduate","No",1666,"Y"
"0",1500,"0","Medium","No",103,360,"Female","Graduate","No",1800,"N"
"2",2889,"0","Large","No",45,180,"Male","Not Graduate","Yes",0,"N"
"0",2755,"1","Small","No",65,300,"Male","Not Graduate","No",0,"N"
"0",2500,"1","Medium","No",103,360,"Male","Graduate","No",20000,"Y"
"0",1963,"1","Medium","No",53,360,"Female","Not Graduate","No",0,"Y"
"0",7441,"1","Small","Yes",194,360,"Female","Graduate","No",0,"N"
"0",4547,"1","Medium","No",115,360,"Female","Graduate","No",0,"Y"
"0",2167,"1","Large","No",115,360,"Male","Not Graduate","Yes",2400,"Y"
"0",2213,"1","Small","No",66,360,"Female","Not Graduate","No",0,"Y"
"1",8300,"0","Medium","No",152,300,"Male","Graduate","Yes",0,"N"
"3+",81000,"0","Small","No",360,360,"Male","Graduate","Yes",0,"N"
"1",3867,"1","Medium","Yes",62,360,"Female","Not Graduate","No",0,"N"
"0",6256,"1","Large","No",160,360,"Male","Graduate","Yes",0,"Y"
"0",6096,"0","Small","No",218,360,"Male","Not Graduate","Yes",0,"N"
"0",2253,"1","Small","No",110,360,"Male","Not Graduate","Yes",2033,"Y"
"0",2149,"0","Medium","No",178,360,"Female","Not Graduate","Yes",3237,"N"
"0",2995,"1","Large","No",60,360,"Female","Graduate","No",0,"Y"
"1",2600,"1","Large","No",160,360,"Female","Graduate","No",0,"N"
"2",1600,"1","Large","Yes",239,360,"Male","Graduate","Yes",20000,"N"
"0",1025,"1","Small","No",112,360,"Male","Graduate","Yes",2773,"Y"
"0",3246,"1","Medium","No",138,360,"Male","Graduate","Yes",1417,"Y"
"0",5829,"1","Small","No",138,360,"Male","Graduate","Yes",0,"Y"
"0",2720,"0","Large","No",80,341.410334346505,"Female","Not Graduate","No",0,"N"
"0",1820,"1","Large","No",100,360,"Male","Graduate","Yes",1719,"Y"
"1",7250,"0","Large","No",110,341.410334346505,"Male","Graduate","Yes",1667,"N"
"0",14880,"1","Medium","No",96,360,"Male","Graduate","Yes",0,"Y"
"0",2666,"1","Small","No",121,360,"Male","Graduate","Yes",4300,"Y"
"1",4606,"1","Small","No",81,360,"Female","Not Graduate","No",0,"N"
"2",5935,"1","Medium","No",133,360,"Male","Graduate","Yes",0,"Y"
"0",2920,"1","Small","No",87,360,"Male","Graduate","Yes",16.12000084,"Y"
"0",2717,"1","Large","No",60,180,"Male","Not Graduate","No",0,"Y"
"1",8624,"1","Medium","Yes",150,360,"Female","Graduate","No",0,"Y"
"0",6500,"0","Small","No",105,360,"Male","Graduate","No",0,"N"
"0",12876,"1","Medium","No",405,360,"Male","Graduate","No",0,"Y"
"0",2425,"1","Medium","No",143,360,"Male","Graduate","Yes",2340,"Y"
"0",3750,"1","Large","No",100,360,"Male","Graduate","No",0,"Y"
"0",10047,"1","Medium","No",147.534907597536,240,"Female","Graduate","Yes",0,"Y"
"0",1926,"1","Medium","No",50,360,"Male","Graduate","No",1851,"Y"
"0",2213,"1","Large","No",147.534907597536,360,"Male","Graduate","Yes",1125,"Y"
"0",10416,"0","Large","Yes",187,360,"Male","Graduate","No",0,"N"
"0",7142,"1","Small","Yes",138,360,"Female","Not Graduate","Yes",0,"Y"
"0",3660,"1","Medium","No",187,360,"Male","Graduate","No",5064,"Y"
"0",7901,"1","Small","No",180,360,"Male","Graduate","Yes",1833,"Y"
"3+",4707,"1","Medium","No",148,360,"Male","Not Graduate","No",1993,"Y"
"1",37719,"1","Medium","No",152,360,"Male","Graduate","No",0,"Y"
"0",7333,"1","Small","No",175,300,"Male","Graduate","Yes",8333,"Y"
"1",3466,"1","Small","Yes",130,360,"Male","Graduate","Yes",1210,"Y"
"2",4652,"1","Small","No",110,360,"Male","Not Graduate","Yes",0,"Y"
"0",3539,"1","Small","No",55,360,"Male","Graduate","Yes",1376,"N"
"2",3340,"0","Small","No",150,360,"Male","Graduate","Yes",1710,"N"
"1",2769,"1","Medium","Yes",190,360,"Male","Not Graduate","No",1542,"N"
"2",2309,"0","Small","No",125,360,"Male","Not Graduate","Yes",1255,"N"
"2",1958,"1","Large","No",60,300,"Male","Not Graduate","Yes",1456,"Y"
"0",3948,"0","Small","No",149,360,"Male","Graduate","Yes",1733,"N"
"0",2483,"0","Small","No",90,180,"Male","Graduate","Yes",2466,"Y"
"0",7085,"1","Medium","Yes",84,360,"Male","Graduate","No",0,"Y"
"2",3859,"1","Medium","No",96,360,"Male","Graduate","Yes",0,"Y"
"0",4301,"1","Large","No",118,360,"Male","Graduate","Yes",0,"Y"
"0",3708,"1","Large","No",173,360,"Male","Graduate","Yes",2569,"N"
"2",4354,"1","Small","No",136,360,"Male","Graduate","No",0,"Y"
"0",8334,"1","Medium","No",160,360,"Male","Graduate","Yes",0,"N"
"0",2083,"1","Medium","Yes",160,360,"Male","Graduate","Yes",4083,"Y"
"3+",7740,"1","Large","No",128,180,"Male","Graduate","Yes",0,"Y"
"0",3015,"1","Small","No",153,360,"Male","Graduate","Yes",2188,"Y"
"1",5191,"1","Medium","No",132,360,"Female","Not Graduate","No",0,"Y"
"0",4166,"0","Medium","No",98,360,"Male","Graduate","No",0,"N"
"0",6000,"1","Small","No",140,360,"Male","Graduate","No",0,"Y"
"3+",2947,"0","Large","No",70,180,"Male","Not Graduate","Yes",1664,"N"
"0",16692,"1","Medium","No",110,360,"Male","Graduate","Yes",0,"Y"
"2",210,"1","Medium","No",98,360,"Female","Not Graduate","Yes",2917,"Y"
"0",4333,"1","Large","No",110,360,"Male","Graduate","Yes",2451,"N"
"1",3450,"1","Medium","Yes",162,360,"Male","Graduate","Yes",2079,"Y"
"1",2653,"0","Small","No",113,180,"Male","Not Graduate","Yes",1500,"N"
"3+",4691,"1","Medium","No",100,360,"Male","Graduate","Yes",0,"Y"
"0",2500,"1","Large","Yes",93,360,"Female","Graduate","No",0,"Y"
"2",5532,"1","Small","No",162,360,"Male","Graduate","No",4648,"Y"
"2",16525,"1","Small","Yes",150,360,"Male","Graduate","Yes",1014,"Y"
"2",6700,"1","Medium","No",230,300,"Male","Graduate","Yes",1750,"Y"
"2",2873,"0","Medium","No",132,360,"Male","Graduate","Yes",1872,"N"
"1",16667,"1","Medium","Yes",86,360,"Male","Graduate","Yes",2250,"Y"
"2",2947,"1","Large","No",147.534907597536,360,"Male","Graduate","Yes",1603,"N"
"0",4350,"1","Small","No",154,360,"Female","Not Graduate","No",0,"Y"
"3+",3095,"1","Small","No",113,360,"Male","Not Graduate","Yes",0,"Y"
"0",2083,"1","Medium","No",128,360,"Male","Graduate","Yes",3150,"Y"
"0",10833,"1","Medium","No",234,360,"Male","Graduate","Yes",0,"Y"
"2",8333,"1","Medium","No",246,360,"Male","Graduate","Yes",0,"Y"
"1",1958,"1","Small","No",131,360,"Male","Not Graduate","Yes",2436,"Y"
"2",3547,"0","Small","No",80,360,"Male","Graduate","No",0,"N"
"1",18333,"1","Large","No",500,360,"Male","Graduate","Yes",0,"N"
"2",4583,"1","Medium","Yes",160,360,"Male","Graduate","Yes",2083,"Y"
"0",2435,"1","Large","No",75,360,"Male","Graduate","No",0,"N"
"0",2699,"1","Medium","No",96,360,"Male","Not Graduate","No",2785,"Y"
"1",5333,"1","Large","No",186,360,"Male","Not Graduate","Yes",1131,"Y"
"0",3691,"1","Small","No",110,360,"Male","Not Graduate","No",0,"Y"
"0",17263,"1","Medium","Yes",225,360,"Female","Not Graduate","No",0,"Y"
"0",3597,"0","Small","No",119,360,"Male","Graduate","Yes",2157,"N"
"1",3326,"1","Medium","No",105,84,"Female","Graduate","Yes",913,"Y"
"0",2600,"1","Small","No",107,360,"Male","Not Graduate","Yes",1700,"Y"
"0",4625,"1","Large","No",111,12,"Male","Graduate","Yes",2857,"Y"
"1",2895,"1","Medium","Yes",95,360,"Male","Graduate","Yes",0,"Y"
"0",6283,"0","Small","No",209,360,"Male","Graduate","No",4416,"N"
"0",645,"1","Small","No",113,480,"Female","Graduate","No",3683,"Y"
"0",3159,"1","Medium","No",100,360,"Female","Graduate","No",0,"Y"
"2",4865,"1","Medium","No",208,360,"Male","Graduate","Yes",5624,"Y"
"1",4050,"1","Small","No",138,360,"Male","Not Graduate","Yes",5302,"N"
"0",3814,"1","Medium","No",124,300,"Male","Not Graduate","Yes",1483,"Y"
"2",3510,"1","Small","No",243,360,"Male","Graduate","Yes",4416,"Y"
"0",20833,"1","Large","No",480,360,"Male","Graduate","Yes",6667,"Y"
"0",3583,"1","Large","No",96,360,"Male","Graduate","No",0,"N"
"0",2479,"1","Large","Yes",188,360,"Male","Graduate","Yes",3013,"Y"
"1",13262,"1","Large","No",40,360,"Female","Graduate","No",0,"Y"
"0",3598,"1","Small","No",100,360,"Male","Not Graduate","No",1287,"N"
"1",6065,"1","Medium","No",250,360,"Male","Graduate","Yes",2004,"Y"
"2",3283,"1","Large","No",148,360,"Male","Graduate","Yes",2035,"Y"
"0",2130,"1","Medium","No",70,180,"Male","Graduate","Yes",6666,"N"
"0",5815,"1","Small","No",311,360,"Male","Graduate","No",3666,"N"
"3+",3466,"1","Small","No",150,360,"Male","Graduate","Yes",3428,"Y"
"2",2031,"1","Medium","No",113,480,"Female","Graduate","Yes",1632,"Y"
"0",3074,"0","Medium","No",123,360,"Male","Not Graduate","Yes",1800,"N"
"0",4683,"1","Medium","No",185,360,"Male","Graduate","No",1915,"N"
"0",3400,"1","Small","No",95,360,"Female","Not Graduate","No",0,"N"
"2",2192,"1","Medium","No",45,360,"Male","Not Graduate","Yes",1742,"Y"
"0",2500,"1","Medium","No",55,360,"Male","Graduate","No",0,"Y"
"3+",5677,"1","Small","Yes",100,360,"Male","Graduate","Yes",1424,"Y"
"2",7948,"1","Small","Yes",480,360,"Male","Graduate","Yes",7166,"Y"
"0",4680,"1","Medium","No",147.534907597536,360,"Male","Graduate","No",2087,"N"
"2",17500,"1","Small","Yes",400,360,"Male","Graduate","Yes",0,"Y"
"0",3775,"1","Medium","No",110,360,"Male","Graduate","Yes",0,"Y"
"1",5285,"0","Medium","No",161,360,"Male","Not Graduate","Yes",1430,"Y"
"1",2679,"1","Medium","No",94,360,"Male","Not Graduate","No",1302,"Y"
"0",6783,"1","Medium","No",130,360,"Male","Not Graduate","No",0,"Y"
"0",1025,"1","Small","No",216,360,"Male","Graduate","Yes",5500,"Y"
"3+",4281,"1","Large","No",100,360,"Male","Graduate","Yes",0,"Y"
"2",3588,"0","Small","No",110,360,"Male","Graduate","No",0,"N"
"1",11250,"1","Medium","No",196,360,"Male","Graduate","No",0,"N"
"0",18165,"1","Large","Yes",125,360,"Female","Not Graduate","No",0,"Y"
"0",2550,"1","Small","No",126,360,"Male","Not Graduate","No",2042,"Y"
"0",6133,"1","Large","No",324,360,"Male","Graduate","Yes",3906,"Y"
"2",3617,"1","Medium","No",107,360,"Male","Graduate","No",0,"Y"
"0",2917,"1","Small","No",66,360,"Male","Not Graduate","Yes",536,"N"
"3+",6417,"1","Small","No",157,180,"Male","Graduate","Yes",0,"Y"
"1",4608,"1","Medium","No",140,180,"Female","Graduate","Yes",2845,"Y"
"0",2138,"0","Medium","No",99,360,"Female","Graduate","No",0,"N"
"1",3652,"1","Medium","No",95,360,"Female","Graduate","No",0,"Y"
"1",2239,"1","Large","No",128,360,"Male","Not Graduate","Yes",2524,"Y"
"0",3017,"1","Medium","No",102,360,"Female","Not Graduate","Yes",663,"Y"
"0",2768,"1","Small","No",155,360,"Male","Graduate","Yes",1950,"Y"
"0",3358,"1","Medium","No",80,36,"Male","Not Graduate","No",0,"N"
"0",2526,"1","Small","No",145,360,"Male","Graduate","No",1783,"Y"
"0",5000,"0","Medium","No",103,360,"Female","Graduate","No",0,"N"
"0",2785,"1","Small","No",110,360,"Male","Graduate","Yes",2016,"Y"
"2",6633,"0","Small","Yes",147.534907597536,360,"Male","Graduate","Yes",0,"N"
"1",2492,"1","Small","No",147.534907597536,360,"Male","Not Graduate","Yes",2375,"Y"
"1",3333,"1","Large","No",158,360,"Male","Graduate","Yes",3250,"Y"
"0",2454,"0","Large","No",181,360,"Male","Not Graduate","Yes",2333,"N"
"0",3593,"0","Small","No",132,180,"Male","Graduate","Yes",4266,"N"
"1",5468,"1","Medium","No",26,360,"Male","Graduate","Yes",1032,"Y"
"0",2667,"1","Large","No",84,360,"Female","Graduate","No",1625,"Y"
"3+",10139,"1","Medium","Yes",260,360,"Male","Graduate","Yes",0,"Y"
"0",3887,"1","Medium","No",162,360,"Male","Graduate","Yes",2669,"Y"
"0",4180,"1","Medium","No",182,360,"Female","Graduate","Yes",2306,"Y"
"2",3675,"1","Medium","No",108,360,"Male","Not Graduate","Yes",242,"Y"
"1",19484,"1","Medium","Yes",600,360,"Female","Graduate","Yes",0,"Y"
"0",5923,"1","Small","No",211,360,"Male","Graduate","Yes",2054,"Y"
"0",5800,"1","Medium","Yes",132,360,"Male","Not Graduate","No",0,"Y"
"2",8799,"0","Large","No",258,360,"Male","Graduate","Yes",0,"N"
"0",4467,"1","Small","No",120,360,"Male","Not Graduate","Yes",0,"Y"
"0",3333,"1","Large","No",70,360,"Male","Graduate","No",0,"Y"
"3+",3400,"0","Small","No",123,360,"Male","Graduate","Yes",2500,"N"
"0",2378,"1","Large","No",9,360,"Female","Graduate","No",0,"N"
"0",3166,"0","Large","No",104,360,"Male","Graduate","Yes",2064,"N"
"1",3417,"1","Large","No",186,360,"Male","Graduate","Yes",1750,"Y"
"0",5116,"0","Large","No",165,360,"Male","Graduate","Yes",1451,"N"
"2",16666,"1","Large","No",275,360,"Male","Graduate","Yes",0,"Y"
"2",6125,"1","Medium","No",187,480,"Male","Not Graduate","Yes",1625,"N"
"3+",6406,"1","Medium","No",150,360,"Male","Graduate","Yes",0,"N"
"2",3159,"1","Large","No",108,84,"Male","Graduate","Yes",461,"Y"
"0",3087,"0","Medium","No",136,360,"Male","Graduate","Yes",2210,"N"
"0",3229,"1","Large","No",110,360,"Male","Graduate","No",2739,"Y"
"1",1782,"1","Small","No",107,360,"Male","Graduate","Yes",2232,"Y"
"0",3182,"1","Large","No",161,360,"Male","Graduate","No",2917,"Y"
"2",6540,"1","Medium","No",205,360,"Male","Graduate","Yes",0,"Y"
"0",1836,"1","Large","No",90,360,"Male","Graduate","No",33837,"N"
"0",3166,"1","Medium","No",36,360,"Female","Graduate","Yes",0,"Y"
"1",1880,"1","Small","No",61,360,"Male","Graduate","Yes",0,"N"
"1",2787,"0","Small","No",146,360,"Male","Graduate","Yes",1917,"N"
"1",4283,"1","Small","No",172,84,"Male","Graduate","Yes",3000,"N"
"0",2297,"1","Large","No",104,360,"Male","Graduate","Yes",1522,"Y"
"0",2165,"1","Medium","No",70,360,"Female","Not Graduate","No",0,"Y"
"0",4750,"1","Medium","No",94,360,"Male","Graduate","No",0,"Y"
"2",2726,"0","Medium","Yes",106,360,"Male","Graduate","Yes",0,"N"
"0",3000,"1","Medium","No",56,180,"Male","Graduate","Yes",3416,"Y"
"2",6000,"1","Medium","Yes",205,240,"Male","Graduate","Yes",0,"N"
"3+",9357,"1","Medium","Yes",292,360,"Male","Graduate","No",0,"Y"
"0",3859,"1","Small","No",142,180,"Male","Graduate","Yes",3300,"Y"
"0",16120,"1","Large","Yes",260,360,"Male","Graduate","Yes",0,"Y"
"0",3833,"1","Small","No",110,360,"Male","Not Graduate","No",0,"Y"
"2",6383,"1","Small","Yes",187,360,"Male","Not Graduate","Yes",1000,"N"
"0",2987,"0","Medium","No",88,360,"Male","Graduate","No",0,"N"
"0",9963,"1","Small","Yes",180,360,"Male","Graduate","Yes",0,"Y"
"2",5780,"1","Large","No",192,360,"Male","Graduate","Yes",0,"Y"
"3+",416,"1","Large","No",350,180,"Female","Graduate","No",41667,"N"
"0",2894,"1","Small","No",155,360,"Male","Not Graduate","Yes",2792,"Y"
"3+",5703,"1","Large","No",128,360,"Male","Graduate","Yes",0,"Y"
"0",3676,"1","Small","No",172,360,"Male","Graduate","No",4301,"Y"
"1",12000,"1","Medium","No",496,360,"Female","Graduate","Yes",0,"Y"
"0",2400,"1","Large","No",147.534907597536,180,"Male","Not Graduate","Yes",3800,"N"
"1",3400,"1","Medium","No",173,360,"Male","Graduate","Yes",2500,"Y"
"2",3987,"1","Small","No",157,360,"Male","Not Graduate","Yes",1411,"Y"
"0",3232,"1","Small","No",108,360,"Male","Graduate","Yes",1950,"Y"
"0",2900,"1","Small","No",71,360,"Female","Graduate","No",0,"Y"
"3+",4106,"1","Small","No",40,180,"Male","Graduate","Yes",0,"Y"
"1",8072,"1","Large","No",253,360,"Male","Graduate","Yes",240,"Y"
"2",7583,"1","Large","No",187,360,"Male","Graduate","Yes",0,"Y"
"0",4583,"0","Medium","Yes",133,360,"Female","Graduate","No",0,"N"
"0",5849,"1","Large","No",147.534907597536,360,"Male","Graduate","No",0,"Y"
"1",4583,"1","Small","No",128,360,"Male","Graduate","Yes",1508,"N"
"0",3000,"1","Large","Yes",66,360,"Male","Graduate","Yes",0,"Y"
"0",2583,"1","Large","No",120,360,"Male","Not Graduate","Yes",2358,"Y"
"0",6000,"1","Large","No",141,360,"Male","Graduate","No",0,"Y"
"2",5417,"1","Large","Yes",267,360,"Male","Graduate","Yes",4196,"Y"
"0",2333,"1","Large","No",95,360,"Male","Not Graduate","Yes",1516,"Y"
"3+",3036,"0","Medium","No",158,360,"Male","Graduate","Yes",2504,"N"
"2",4006,"1","Large","No",168,360,"Male","Graduate","Yes",1526,"Y"
"1",12841,"1","Medium","No",349,360,"Male","Graduate","Yes",10968,"N"
"2",3200,"1","Large","No",70,360,"Male","Graduate","Yes",700,"Y"
"2",2500,"1","Large","No",109,360,"Male","Graduate","Yes",1840,"Y"
"2",3073,"1","Large","No",200,360,"Male","Graduate","Yes",8106,"Y"
"0",1853,"1","Small","No",114,360,"Male","Graduate","No",2840,"N"
"2",1299,"1","Large","No",17,120,"Male","Graduate","Yes",1086,"Y"
"0",4950,"1","Large","No",125,360,"Male","Graduate","No",0,"Y"
"1",3596,"1","Large","No",100,240,"Male","Not Graduate","No",0,"Y"
"0",3510,"0","Large","No",76,360,"Female","Graduate","No",0,"N"
"0",4887,"1","Small","No",133,360,"Male","Not Graduate","Yes",0,"N"
"0",2600,"1","Large","No",115,341.410334346505,"Male","Graduate","Yes",3500,"Y"
"0",7660,"0","Large","No",104,360,"Male","Not Graduate","Yes",0,"N"
"1",5955,"1","Large","No",315,360,"Male","Graduate","Yes",5625,"Y"
"0",2600,"0","Medium","No",116,360,"Male","Not Graduate","Yes",1911,"N"
"2",3365,"0","Small","No",112,360,"Male","Not Graduate","Yes",1917,"N"
"1",3717,"1","Medium","No",151,360,"Male","Graduate","Yes",2925,"N"
"0",9560,"1","Medium","Yes",191,360,"Male","Graduate","Yes",0,"Y"
"0",2799,"1","Medium","No",122,360,"Male","Graduate","Yes",2253,"Y"
"2",4226,"1","Large","No",110,360,"Male","Not Graduate","Yes",1040,"Y"
"0",1442,"1","Large","No",35,360,"Male","Not Graduate","No",0,"N"
"2",3750,"1","Medium","No",120,360,"Female","Graduate","No",2083,"Y"
"1",4166,"1","Large","No",201,360,"Male","Graduate","Yes",3369,"N"
"0",3167,"1","Large","No",74,360,"Male","Graduate","No",0,"N"
"1",4692,"1","Small","Yes",106,360,"Male","Graduate","No",0,"N"
"0",3500,"1","Medium","No",114,360,"Male","Graduate","Yes",1667,"Y"
"3+",12500,"1","Small","No",320,360,"Male","Graduate","No",3000,"N"
"0",2275,"1","Large","No",147.534907597536,360,"Male","Graduate","Yes",2067,"Y"
"0",1828,"0","Large","No",100,341.410334346505,"Male","Graduate","Yes",1330,"N"
"0",3667,"1","Medium","No",144,360,"Female","Graduate","Yes",1459,"Y"
"0",4166,"1","Large","No",184,360,"Male","Graduate","No",7210,"Y"
"0",3748,"1","Medium","No",110,360,"Male","Not Graduate","No",1668,"Y"
